Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
THE SHELFORD,"2,400,000","1,033.34","2,323",Mar-23,SHELFORD ROAD,Resale,Strata,96,"25,000",-,Condominium,1,Freehold,11,Core Central Region,01 to 05
PARC RIVIERA,"950,000",602.78,"1,576",Mar-23,WEST COAST VALE,Resale,Strata,56,"16,964",-,Condominium,1,99 yrs lease commencing from 2015,05,Outside Central Region,21 to 25
REFLECTIONS AT KEPPEL BAY,"3,100,000","1,948.28","1,591",Mar-23,KEPPEL BAY VIEW,Resale,Strata,181,"17,127",-,Condominium,1,99 yrs lease commencing from 2006,04,Rest of Central Region,01 to 05
RIVERTREES RESIDENCES,"1,718,000","1,205.57","1,425",Mar-23,FERNVALE CLOSE,Resale,Strata,112,"15,339",-,Apartment,1,99 yrs lease commencing from 2013,28,Outside Central Region,11 to 15
THE PARC CONDOMINIUM,"2,020,000","1,216.33","1,661",Mar-23,WEST COAST WALK,Resale,Strata,113,"17,876",-,Condominium,1,Freehold,05,Outside Central Region,11 to 15
PARK COLONIAL,"1,450,000",678.13,"2,138",Mar-23,WOODLEIGH LANE,Resale,Strata,63,"23,016",-,Condominium,1,99 yrs lease commencing from 2017,13,Rest of Central Region,11 to 15
PARC PALAIS,"1,533,000","1,076.4","1,424",Mar-23,HUME AVENUE,Resale,Strata,100,"15,330",-,Condominium,1,Freehold,21,Outside Central Region,01 to 05
PATERSON SUITES,"4,900,000","1,679.18","2,918",Mar-23,PATERSON ROAD,Resale,Strata,156,"31,410",-,Condominium,1,Freehold,09,Core Central Region,06 to 10
ADANA @ THOMSON,"1,568,800",871.88,"1,799",Mar-23,OLD UPPER THOMSON ROAD,Resale,Strata,81,"19,368",-,Apartment,1,Freehold,20,Outside Central Region,01 to 05
STURDEE RESIDENCES,"1,450,000",721.19,"2,011",Mar-23,BEATTY ROAD,Resale,Strata,67,"21,642",-,Condominium,1,99 yrs lease commencing from 2015,08,Rest of Central Region,16 to 20
D'LEEDON,"1,526,000",785.77,"1,942",Mar-23,LEEDON HEIGHTS,Resale,Strata,73,"20,904",-,Condominium,1,99 yrs lease commencing from 2010,10,Core Central Region,26 to 30
THE MINTON,"1,590,000","1,108.69","1,434",Mar-23,HOUGANG STREET 11,Resale,Strata,103,"15,437",-,Condominium,1,99 yrs lease commencing from 2007,19,Outside Central Region,06 to 10
TANGLIN VIEW,"1,830,000","1,151.75","1,589",Mar-23,PRINCE CHARLES CRESCENT,Resale,Strata,107,"17,103",-,Condominium,1,99 yrs lease commencing from 1997,03,Rest of Central Region,06 to 10
PARK PLACE RESIDENCES AT PLQ,"1,400,000",667.37,"2,098",Mar-23,PAYA LEBAR ROAD,Resale,Strata,62,"22,581",-,Apartment,1,99 yrs lease commencing from 2015,14,Rest of Central Region,01 to 05
THE BAYSHORE,"1,520,000","1,184.04","1,284",Mar-23,BAYSHORE ROAD,Resale,Strata,110,"13,818",-,Condominium,1,99 yrs lease commencing from 1993,16,Outside Central Region,11 to 15
THE BAYSHORE,"1,850,000","1,431.61","1,292",Mar-23,BAYSHORE ROAD,Resale,Strata,133,"13,910",-,Condominium,1,99 yrs lease commencing from 1993,16,Outside Central Region,21 to 25
THE TRILINQ,"1,230,000",710.42,"1,731",Mar-23,JALAN LEMPENG,Resale,Strata,66,"18,636",-,Condominium,1,99 yrs lease commencing from 2012,05,Outside Central Region,11 to 15
QUEENS PEAK,"1,620,000",807.3,"2,007",Mar-23,DUNDEE ROAD,Resale,Strata,75,"21,600",-,Condominium,1,99 yrs lease commencing from 2015,03,Rest of Central Region,21 to 25
PARK PLACE RESIDENCES AT PLQ,"990,000",484.38,"2,044",Mar-23,PAYA LEBAR ROAD,Resale,Strata,45,"22,000",-,Apartment,1,99 yrs lease commencing from 2015,14,Rest of Central Region,06 to 10
THE WATERSIDE,"4,030,000","2,142.04","1,881",Mar-23,TANJONG RHU ROAD,Resale,Strata,199,"20,251",-,Condominium,1,Freehold,15,Rest of Central Region,16 to 20
FULCRUM,"1,750,000",818.06,"2,139",Mar-23,FORT ROAD,Resale,Strata,76,"23,026",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
MELVILLE PARK,"868,000",958,906,Mar-23,SIMEI STREET 1,Resale,Strata,89,"9,753",-,Condominium,1,99 yrs lease commencing from 1992,18,Outside Central Region,01 to 05
THE METROPOLITAN CONDOMINIUM,"2,500,000","1,399.32","1,787",Mar-23,ALEXANDRA VIEW,Resale,Strata,130,"19,231",-,Condominium,1,99 yrs lease commencing from 2006,03,Rest of Central Region,11 to 15
THE EDGEWATER,"1,080,000",925.7,"1,167",Mar-23,JALAN LOYANG BESAR,Resale,Strata,86,"12,558",-,Condominium,1,Freehold,17,Outside Central Region,01 to 05
ROYALGREEN,"2,043,000",721.19,"2,833",Mar-23,ANAMALAI AVENUE,Resale,Strata,67,"30,493",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
KINGSFORD WATERBAY,"1,220,000",882.65,"1,382",Mar-23,UPPER SERANGOON VIEW,Resale,Strata,82,"14,878",-,Apartment,1,99 yrs lease commencing from 2014,19,Outside Central Region,11 to 15
76 SHENTON,"1,850,000",968.76,"1,910",Mar-23,SHENTON WAY,Resale,Strata,90,"20,556",-,Apartment,1,99 yrs lease commencing from 2007,02,Core Central Region,26 to 30
PARC ROSEWOOD,"920,000",828.83,"1,110",Mar-23,ROSEWOOD DRIVE,Resale,Strata,77,"11,948",-,Condominium,1,99 yrs lease commencing from 2011,25,Outside Central Region,01 to 05
CHILTERN PARK,"1,700,000","1,302.44","1,305",Mar-23,SERANGOON AVENUE 3,Resale,Strata,121,"14,050",-,Condominium,1,99 yrs lease commencing from 1991,19,Outside Central Region,06 to 10
AMARYLLIS VILLE,"2,400,000","1,237.86","1,939",Mar-23,NEWTON ROAD,Resale,Strata,115,"20,870",-,Condominium,1,99 yrs lease commencing from 1997,11,Core Central Region,11 to 15
NOVELIS,"958,000",527.44,"1,816",Mar-23,SINARAN DRIVE,Resale,Strata,49,"19,551",-,Apartment,1,Freehold,11,Core Central Region,06 to 10
WATERFORD RESIDENCE,"2,362,000","1,388.56","1,701",Mar-23,KIM YAM ROAD,Resale,Strata,129,"18,310",-,Apartment,1,999 yrs lease commencing from 1841,09,Core Central Region,06 to 10
THE REGENCY AT TIONG BAHRU,"2,850,000","1,280.92","2,225",Mar-23,CHAY YAN STREET,Resale,Strata,119,"23,950",-,Condominium,1,Freehold,03,Rest of Central Region,06 to 10
LOFT @ NATHAN,"1,494,200",990.29,"1,509",Mar-23,NATHAN ROAD,Resale,Strata,92,"16,241",-,Apartment,1,Freehold,10,Core Central Region,06 to 10
HILLCREST ARCADIA,"2,500,000","1,969.81","1,269",Mar-23,ARCADIA ROAD,Resale,Strata,183,"13,661",-,Condominium,1,99 yrs lease commencing from 1975,11,Core Central Region,01 to 05
KANDIS RESIDENCE,"1,070,000",764.24,"1,400",Mar-23,KANDIS LINK,Resale,Strata,71,"15,070",-,Condominium,1,99 yrs lease commencing from 2016,27,Outside Central Region,01 to 05
RIVER ISLES,"1,680,000","1,453.14","1,156",Mar-23,EDGEDALE PLAINS,Resale,Strata,135,"12,444",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,01 to 05
BAYSHORE PARK,"1,510,000","1,173.28","1,287",Mar-23,BAYSHORE ROAD,Resale,Strata,109,"13,853",-,Condominium,1,99 yrs lease commencing from 1982,16,Outside Central Region,21 to 25
THE ELYSIA,"990,000",850.36,"1,164",Mar-23,MAR THOMA ROAD,Resale,Strata,79,"12,532",-,Apartment,1,999 yrs lease commencing from 1882,12,Rest of Central Region,06 to 10
REFLECTIONS AT KEPPEL BAY,"3,252,000","1,894.46","1,717",Mar-23,KEPPEL BAY VIEW,Resale,Strata,176,"18,477",-,Condominium,1,99 yrs lease commencing from 2006,04,Rest of Central Region,16 to 20
THE SHELFORD,"2,280,000","1,054.87","2,161",Mar-23,SHELFORD ROAD,Resale,Strata,98,"23,265",-,Condominium,1,Freehold,11,Core Central Region,01 to 05
HIGHLAND CONDOMINIUM,"1,850,000","1,517.72","1,219",Mar-23,HIGHLAND ROAD,Resale,Strata,141,"13,121",-,Condominium,1,Freehold,19,Outside Central Region,-
SEASIDE RESIDENCES,"1,250,000",592.02,"2,111",Mar-23,SIGLAP LINK,Resale,Strata,55,"22,727",-,Apartment,1,99 yrs lease commencing from 2016,15,Outside Central Region,06 to 10
THE ABERDEEN,"1,848,888","1,302.44","1,420",Mar-23,JALAN TAMAN,Resale,Strata,121,"15,280",-,Condominium,1,Freehold,12,Rest of Central Region,11 to 15
BISHAN PARK CONDOMINIUM,"1,933,308","1,506.96","1,283",Mar-23,SIN MING WALK,Resale,Strata,140,"13,809",-,Condominium,1,99 yrs lease commencing from 1991,20,Rest of Central Region,01 to 05
THE AZURE,"2,500,000","1,334.74","1,873",Mar-23,OCEAN DRIVE,Resale,Strata,124,"20,161",-,Condominium,1,99 yrs lease commencing from 2005,04,Core Central Region,01 to 05
DOUBLE BAY RESIDENCES,"1,690,000","1,313.21","1,287",Mar-23,SIMEI STREET 4,Resale,Strata,122,"13,852",-,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,11 to 15
COMMONWEALTH TOWERS,"928,888",462.85,"2,007",Mar-23,COMMONWEALTH AVENUE,Resale,Strata,43,"21,602",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,16 to 20
THE BALMORAL SPRING,"2,285,000","1,076.4","2,123",Mar-23,BALMORAL CRESCENT,Resale,Strata,100,"22,850",-,Apartment,1,Freehold,10,Core Central Region,01 to 05
RIVERSOUND RESIDENCE,"1,185,000",904.18,"1,311",Mar-23,SENGKANG EAST AVENUE,Resale,Strata,84,"14,107",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15
SEASONS PARK,"1,110,000","1,065.64","1,042",Mar-23,YIO CHU KANG ROAD,Resale,Strata,99,"11,212",-,Condominium,1,99 yrs lease commencing from 1995,26,Outside Central Region,06 to 10
AMBER RESIDENCES,"4,200,000","2,217.38","1,894",Mar-23,AMBER ROAD,Resale,Strata,206,"20,388",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
REGENT HEIGHTS,"1,210,000","1,162.51","1,041",Mar-23,BUKIT BATOK EAST AVENUE 5,Resale,Strata,108,"11,204",-,Condominium,1,99 yrs lease commencing from 1995,23,Outside Central Region,11 to 15
THE MADEIRA,"1,380,000","1,356.26","1,018",Mar-23,BUKIT BATOK STREET 31,Resale,Strata,126,"10,952",-,Condominium,1,99 yrs lease commencing from 2000,23,Outside Central Region,11 to 15
GRANDEUR PARK RESIDENCES,"1,220,000",667.37,"1,828",Mar-23,BEDOK SOUTH AVENUE 3,Resale,Strata,62,"19,677",-,Condominium,1,99 yrs lease commencing from 2016,16,Outside Central Region,01 to 05
DOMUS,"879,000",473.62,"1,856",Mar-23,IRRAWADDY ROAD,Resale,Strata,44,"19,977",-,Apartment,1,Freehold,12,Rest of Central Region,11 to 15
JEWEL @ BUANGKOK,"1,150,000",731.95,"1,571",Mar-23,COMPASSVALE BOW,Resale,Strata,68,"16,912",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,11 to 15
THE CITRON RESIDENCES,"1,300,000",742.72,"1,750",Mar-23,MARNE ROAD,Resale,Strata,69,"18,841",-,Apartment,1,Freehold,08,Rest of Central Region,01 to 05
CITYSCAPE @FARRER PARK,"2,040,000","1,248.62","1,634",Mar-23,MERGUI ROAD,Resale,Strata,116,"17,586",-,Condominium,1,Freehold,08,Rest of Central Region,16 to 20
SYMPHONY SUITES,"965,000",785.77,"1,228",Mar-23,YISHUN CLOSE,Resale,Strata,73,"13,219",-,Condominium,1,99 yrs lease commencing from 2014,27,Outside Central Region,11 to 15
KOVAN MELODY,"2,180,000","1,689.95","1,290",Mar-23,KOVAN ROAD,Resale,Strata,157,"13,885",-,Condominium,1,99 yrs lease commencing from 2004,19,Outside Central Region,01 to 05
CORALS AT KEPPEL BAY,"6,560,000","2,583.36","2,539",Mar-23,KEPPEL BAY DRIVE,Resale,Strata,240,"27,333",-,Condominium,1,99 yrs lease commencing from 2007,04,Rest of Central Region,01 to 05
LAKEVILLE,"1,510,000",947.23,"1,594",Mar-23,JURONG LAKE LINK,Resale,Strata,88,"17,159",-,Condominium,1,99 yrs lease commencing from 2013,22,Outside Central Region,06 to 10
NORTH PARK RESIDENCES,"2,020,000","1,205.57","1,676",Mar-23,YISHUN CENTRAL 1,Resale,Strata,112,"18,036",-,Apartment,1,99 yrs lease commencing from 2015,27,Outside Central Region,06 to 10
DAKOTA RESIDENCES,"1,800,000","1,044.11","1,724",Mar-23,DAKOTA CRESCENT,Resale,Strata,97,"18,557",-,Condominium,1,99 yrs lease commencing from 2007,14,Rest of Central Region,11 to 15
MON JERVOIS,"1,700,000",893.41,"1,903",Mar-23,JERVOIS ROAD,Resale,Strata,83,"20,482",-,Condominium,1,99 yrs lease commencing from 2012,10,Core Central Region,01 to 05
Q BAY RESIDENCES,"1,680,000","1,216.33","1,381",Mar-23,TAMPINES STREET 86,Resale,Strata,113,"14,867",-,Condominium,1,99 yrs lease commencing from 2012,18,Outside Central Region,16 to 20
SPRING GROVE,"1,830,000","1,011.82","1,809",Mar-23,GRANGE ROAD,Resale,Strata,94,"19,468",-,Condominium,1,99 yrs lease commencing from 1991,10,Core Central Region,01 to 05
ILLUMINAIRE ON DEVONSHIRE,"1,060,000",462.85,"2,290",Mar-23,DEVONSHIRE ROAD,Resale,Strata,43,"24,651",-,Apartment,1,Freehold,09,Core Central Region,11 to 15
CORALS AT KEPPEL BAY,"9,000,000","3,100.03","2,903",Mar-23,KEPPEL BAY DRIVE,Resale,Strata,288,"31,250",-,Condominium,1,99 yrs lease commencing from 2007,04,Rest of Central Region,01 to 05
ONE AMBER,"3,150,000","1,657.66","1,900",Mar-23,AMBER GARDENS,Resale,Strata,154,"20,455",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
SKY HABITAT,"1,900,005","1,194.8","1,590",Mar-23,BISHAN STREET 15,Resale,Strata,111,"17,117",-,Condominium,1,99 yrs lease commencing from 2011,20,Rest of Central Region,16 to 20
WATERBANK AT DAKOTA,"2,295,000","1,140.98","2,011",Mar-23,DAKOTA CRESCENT,Resale,Strata,106,"21,651",-,Condominium,1,99 yrs lease commencing from 2009,14,Rest of Central Region,16 to 20
D'LEEDON,"3,200,000","1,614.6","1,982",Mar-23,LEEDON HEIGHTS,Resale,Strata,150,"21,333",-,Condominium,1,99 yrs lease commencing from 2010,10,Core Central Region,26 to 30
COSTA RHU,"2,450,000","1,646.89","1,488",Mar-23,RHU CROSS,Resale,Strata,153,"16,013",-,Condominium,1,99 yrs lease commencing from 1994,15,Rest of Central Region,01 to 05
A TREASURE TROVE,"1,120,000",775.01,"1,445",Mar-23,PUNGGOL WALK,Resale,Strata,72,"15,556",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10
ROYALGREEN,"1,867,900",710.42,"2,629",Mar-23,ANAMALAI AVENUE,Resale,Strata,66,"28,302",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
THE WINDSOR,"2,950,000","2,012.87","1,466",Mar-23,ONTARIO AVENUE,Resale,Strata,187,"15,775",-,Condominium,1,Freehold,20,Rest of Central Region,01 to 05
OPTIMA @ TANAH MERAH,"1,430,000","1,001.05","1,428",Mar-23,TANAH MERAH KECHIL AVENUE,Resale,Strata,93,"15,376",-,Condominium,1,99 yrs lease commencing from 2008,16,Outside Central Region,11 to 15
MARGARET VILLE,"1,575,000",699.66,"2,251",Mar-23,MARGARET DRIVE,Resale,Strata,65,"24,231",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,11 to 15
THE BAYSHORE,"1,620,000","1,259.39","1,286",Mar-23,BAYSHORE ROAD,Resale,Strata,117,"13,846",-,Condominium,1,99 yrs lease commencing from 1993,16,Outside Central Region,01 to 05
YONG AN PARK,"4,250,000","1,808.35","2,350",Mar-23,RIVER VALLEY ROAD,Resale,Strata,168,"25,298",-,Condominium,1,Freehold,09,Core Central Region,06 to 10
REGENT HEIGHTS,"1,310,000","1,173.28","1,117",Mar-23,BUKIT BATOK EAST AVENUE 5,Resale,Strata,109,"12,018",-,Condominium,1,99 yrs lease commencing from 1995,23,Outside Central Region,16 to 20
CARISSA PARK CONDOMINIUM,"933,000","1,033.34",903,Mar-23,FLORA DRIVE,Resale,Strata,96,"9,719",-,Condominium,1,Freehold,17,Outside Central Region,06 to 10
RESIDENTIAL APARTMENTS,"1,150,000","1,022.58","1,125",Mar-23,PASIR PANJANG ROAD,Resale,Strata,95,"12,105",-,Apartment,1,999 yrs lease commencing from 1966,05,Rest of Central Region,01 to 05
TERESA VILLE,"3,280,000","1,980.58","1,656",Mar-23,LOWER DELTA ROAD,Resale,Strata,184,"17,826",-,Condominium,1,Freehold,04,Rest of Central Region,16 to 20
OLEANDER TOWERS,"1,200,000",861.12,"1,394",Mar-23,LORONG 1 TOA PAYOH,Resale,Strata,80,"15,000",-,Apartment,1,99 yrs lease commencing from 1995,12,Rest of Central Region,16 to 20
THE VERVE,"730,000",441.32,"1,654",Mar-23,JALAN RAJAH,Resale,Strata,41,"17,805",-,Apartment,1,Freehold,12,Rest of Central Region,01 to 05
ONE AMBER,"1,200,000",570.49,"2,103",Mar-23,AMBER GARDENS,Resale,Strata,53,"22,642",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
D'LEEDON,"1,688,000","1,054.87","1,600",Mar-23,LEEDON HEIGHTS,Resale,Strata,98,"17,224",-,Condominium,1,99 yrs lease commencing from 2010,10,Core Central Region,01 to 05
OPAL SUITES,"655,000",452.09,"1,449",Mar-23,OPAL CRESCENT,Resale,Strata,42,"15,595",-,Apartment,1,Freehold,12,Rest of Central Region,01 to 05
URBAN VISTA,"1,655,000","1,323.97","1,250",Mar-23,TANAH MERAH KECHIL LINK,Resale,Strata,123,"13,455",-,Condominium,1,99 yrs lease commencing from 2012,16,Outside Central Region,11 to 15
ICON,"1,090,000",570.49,"1,911",Mar-23,GOPENG STREET,Resale,Strata,53,"20,566",-,Apartment,1,99 yrs lease commencing from 2002,02,Core Central Region,26 to 30
RIVERBANK @ FERNVALE,"1,280,000","1,011.82","1,265",Mar-23,FERNVALE CLOSE,Resale,Strata,94,"13,617",-,Condominium,1,99 yrs lease commencing from 2013,28,Outside Central Region,16 to 20
RESIDENCES @ KILLINEY,"3,950,000","1,625.36","2,430",Mar-23,KILLINEY ROAD,Resale,Strata,151,"26,159",-,Apartment,1,Freehold,09,Core Central Region,01 to 05
THE LUXURIE,"1,080,000",775.01,"1,394",Mar-23,COMPASSVALE ROAD,Resale,Strata,72,"15,000",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10
URBAN VISTA,"1,380,000","1,044.11","1,322",Mar-23,TANAH MERAH KECHIL LINK,Resale,Strata,97,"14,227",-,Condominium,1,99 yrs lease commencing from 2012,16,Outside Central Region,01 to 05
ASPEN HEIGHTS,"3,400,000","1,593.07","2,134",Mar-23,RIVER VALLEY ROAD,Resale,Strata,148,"22,973",-,Condominium,1,999 yrs lease commencing from 1841,09,Core Central Region,11 to 15
ROYALGREEN,"1,984,000",688.9,"2,880",Mar-23,ANAMALAI AVENUE,Resale,Strata,64,"31,000",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
FAIRMOUNT CONDOMINIUM,"1,200,000","1,227.1",978,Mar-23,EASTWOOD ROAD,Resale,Strata,114,"10,526",-,Condominium,1,99 yrs lease commencing from 1996,16,Outside Central Region,01 to 05
H2O RESIDENCES,"940,000",742.72,"1,266",Mar-23,FERNVALE LINK,Resale,Strata,69,"13,623",-,Condominium,1,99 yrs lease commencing from 2010,28,Outside Central Region,01 to 05
THE LAKESHORE,"1,505,000","1,108.69","1,357",Mar-23,JURONG WEST STREET 41,Resale,Strata,103,"14,612",-,Condominium,1,99 yrs lease commencing from 2002,22,Outside Central Region,16 to 20
RV RESIDENCES,"1,610,000",688.9,"2,337",Mar-23,RIVER VALLEY ROAD,Resale,Strata,64,"25,156",-,Condominium,1,999 yrs lease commencing from 1877,10,Core Central Region,01 to 05
VIDA,"1,800,000",861.12,"2,090",Mar-23,PECK HAY ROAD,Resale,Strata,80,"22,500",-,Apartment,1,Freehold,09,Core Central Region,06 to 10
AMPAS APARTMENTS,"1,720,000","1,259.39","1,366",Mar-23,JALAN AMPAS,Resale,Strata,117,"14,701",-,Apartment,1,Freehold,12,Rest of Central Region,06 to 10
ARCHIPELAGO,"1,078,000",839.59,"1,284",Mar-23,BEDOK RESERVOIR ROAD,Resale,Strata,78,"13,821",-,Condominium,1,99 yrs lease commencing from 2011,16,Outside Central Region,01 to 05
TREE HOUSE,"1,700,000","1,151.75","1,476",Mar-23,CHESTNUT AVENUE,Resale,Strata,107,"15,888",-,Condominium,1,99 yrs lease commencing from 2009,23,Outside Central Region,11 to 15
COSTA DEL SOL,"2,088,000","1,313.21","1,590",Mar-23,BAYSHORE ROAD,Resale,Strata,122,"17,115",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,21 to 25
76 SHENTON,"1,180,000",624.31,"1,890",Mar-23,SHENTON WAY,Resale,Strata,58,"20,345",-,Apartment,1,99 yrs lease commencing from 2007,02,Core Central Region,16 to 20
THE GLADES,"1,360,000",839.59,"1,620",Mar-23,BEDOK RISE,Resale,Strata,78,"17,436",-,Condominium,1,99 yrs lease commencing from 2013,16,Outside Central Region,06 to 10
CITYLIGHTS,"1,580,000",893.41,"1,769",Mar-23,JELLICOE ROAD,Resale,Strata,83,"19,036",-,Condominium,1,99 yrs lease commencing from 2004,08,Rest of Central Region,21 to 25
SOPHIA RESIDENCE,"3,880,000","2,045.16","1,897",Mar-23,SOPHIA ROAD,Resale,Strata,190,"20,421",-,Condominium,1,Freehold,09,Core Central Region,06 to 10
BEDOK RESIDENCES,"2,650,000","1,528.49","1,734",Mar-23,BEDOK NORTH DRIVE,Resale,Strata,142,"18,662",-,Apartment,1,99 yrs lease commencing from 2011,16,Outside Central Region,06 to 10
FLORAVILLE,"1,000,000",688.9,"1,452",Mar-23,CACTUS ROAD,Resale,Strata,64,"15,625",-,Apartment,1,Freehold,28,Outside Central Region,01 to 05
THE ORIENT,"1,330,000",721.19,"1,844",Mar-23,PASIR PANJANG ROAD,Resale,Strata,67,"19,851",-,Apartment,1,Freehold,05,Rest of Central Region,01 to 05
CALARASI,"1,650,000","1,184.04","1,394",Mar-23,KIM KEAT LANE,Resale,Strata,110,"15,000",-,Apartment,1,Freehold,12,Rest of Central Region,11 to 15
VISIONCREST,"2,828,000","1,140.98","2,479",Mar-23,OXLEY RISE,Resale,Strata,106,"26,679",-,Apartment,1,Freehold,09,Core Central Region,06 to 10
CASA ROSA,"1,980,000","2,174.33",911,Mar-23,LORONG ONG LYE,Resale,Strata,202,"9,802",-,Condominium,1,99 yrs lease commencing from 1998,19,Outside Central Region,01 to 05
CENTRO RESIDENCES,"1,480,000",871.88,"1,697",Mar-23,ANG MO KIO AVENUE 8,Resale,Strata,81,"18,272",-,Condominium,1,99 yrs lease commencing from 2007,20,Outside Central Region,16 to 20
KOVAN GRANDEUR,"578,000",365.98,"1,579",Mar-23,TAMPINES ROAD,Resale,Strata,34,"17,000",-,Apartment,1,99 yrs lease commencing from 2010,19,Outside Central Region,01 to 05
LEONIE SUITES,"1,235,000",688.9,"1,793",Mar-23,LEONIE HILL,Resale,Strata,64,"19,297",-,Apartment,1,99 yrs lease commencing from 2002,09,Core Central Region,11 to 15
A TREASURE TROVE,"1,480,000","1,044.11","1,417",Mar-23,PUNGGOL WALK,Resale,Strata,97,"15,258",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10
COSTA DEL SOL,"2,140,000","1,237.86","1,729",Mar-23,BAYSHORE ROAD,Resale,Strata,115,"18,609",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,26 to 30
KINGSFORD . HILLVIEW PEAK,"1,050,000","1,054.87",995,Mar-23,HILLVIEW RISE,Resale,Strata,98,"10,714",-,Condominium,1,99 yrs lease commencing from 2012,23,Outside Central Region,11 to 15
BULLION PARK,"1,770,000","1,259.39","1,405",Mar-23,LENTOR LOOP,Resale,Strata,117,"15,128",-,Condominium,1,Freehold,26,Outside Central Region,01 to 05
RIVERTREES RESIDENCES,"980,000",699.66,"1,401",Mar-23,FERNVALE CLOSE,Resale,Strata,65,"15,077",-,Apartment,1,99 yrs lease commencing from 2013,28,Outside Central Region,16 to 20
NEPTUNE COURT,"1,720,000","1,636.13","1,051",Mar-23,MARINE VISTA,Resale,Strata,152,"11,316",-,Apartment,1,99 yrs lease commencing from 1975,15,Outside Central Region,16 to 20
SUNGLADE,"1,650,000","1,162.51","1,419",Mar-23,SERANGOON AVENUE 2,Resale,Strata,108,"15,278",-,Condominium,1,99 yrs lease commencing from 2000,19,Outside Central Region,06 to 10
QUEENSWAY TOWER,"1,800,000","1,431.61","1,257",Mar-23,QUEENSWAY,Resale,Strata,133,"13,534",-,Apartment,1,Freehold,03,Rest of Central Region,11 to 15
THE CLEARWATER,"1,620,000","1,377.79","1,176",Mar-23,BEDOK RESERVOIR VIEW,Resale,Strata,128,"12,656",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,06 to 10
KINGSFORD WATERBAY,"700,000",484.38,"1,445",Mar-23,UPPER SERANGOON VIEW,Resale,Strata,45,"15,556",-,Apartment,1,99 yrs lease commencing from 2014,19,Outside Central Region,11 to 15
CITYLIGHTS,"1,480,000",871.88,"1,697",Mar-23,JELLICOE ROAD,Resale,Strata,81,"18,272",-,Condominium,1,99 yrs lease commencing from 2004,08,Rest of Central Region,11 to 15
LE HILL CONDOMINIUM,"1,600,000","1,216.33","1,315",Mar-23,PASIR PANJANG HILL,Resale,Strata,113,"14,159",-,Condominium,1,Freehold,05,Rest of Central Region,01 to 05
LA FIESTA,"1,530,000","1,001.05","1,528",Mar-23,SENGKANG SQUARE,Resale,Strata,93,"16,452",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,11 to 15
SUITES AT BUKIT TIMAH,"768,000",441.32,"1,740",Mar-23,JALAN JURONG KECHIL,Resale,Strata,41,"18,732",-,Apartment,1,Freehold,21,Rest of Central Region,01 to 05
VUE 8 RESIDENCE,"1,120,000",775.01,"1,445",Mar-23,PASIR RIS HEIGHTS,Resale,Strata,72,"15,556",-,Condominium,1,99 yrs lease commencing from 2012,18,Outside Central Region,11 to 15
ALTEZ,"2,100,000","1,173.28","1,790",Mar-23,ENGGOR STREET,Resale,Strata,109,"19,266",-,Apartment,1,99 yrs lease commencing from 2008,02,Core Central Region,41 to 45
183 LONGHAUS,"1,480,000",796.54,"1,858",Mar-23,UPPER THOMSON ROAD,Resale,Strata,74,"20,000",-,Apartment,1,Freehold,20,Rest of Central Region,01 to 05
ENVIO,"1,575,000","1,011.82","1,557",Mar-23,JOO CHIAT PLACE,Resale,Strata,94,"16,755",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
CONDOMINIUM DEVELOPMENT,"1,700,000",947.23,"1,795",Mar-23,HOLLAND ROAD,Resale,Strata,88,"19,318",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
STIRLING RESIDENCES,"1,368,000",656.6,"2,083",Mar-23,STIRLING ROAD,Resale,Strata,61,"22,426",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,06 to 10
