Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
MONTEBLEU,"1,520,000",850.36,"1,787",Jul-22,MINBU ROAD,Resale,Strata,79,"19,241",-,Condominium,1,Freehold,11,Core Central Region,16 to 20
ASCENTIA SKY,"1,818,000","1,022.58","1,778",Jul-22,ALEXANDRA VIEW,Resale,Strata,95,"19,137",-,Condominium,1,99 yrs lease commencing from 2008,03,Rest of Central Region,41 to 45
FERRARIA PARK CONDOMINIUM,"1,430,000","1,323.97","1,080",Jul-22,FLORA DRIVE,Resale,Strata,123,"11,626",-,Condominium,1,Freehold,17,Outside Central Region,01 to 05
THE SAIL @ MARINA BAY,"1,650,000",882.65,"1,869",Jul-22,MARINA BOULEVARD,Resale,Strata,82,"20,122",-,Apartment,1,99 yrs lease commencing from 2002,01,Core Central Region,56 to 60
RIVERGATE,"5,158,000","1,797.59","2,869",Jul-22,ROBERTSON QUAY,Resale,Strata,167,"30,886",-,Apartment,1,Freehold,09,Core Central Region,31 to 35
CHESTNUT VILLE,"2,475,000","2,077.45","1,191",Jul-22,JALAN PAKIS,Resale,Strata,193,"12,824",-,Condominium,1,999 yrs lease commencing from 1882,23,Outside Central Region,-
SPRING GROVE,"1,750,000","1,011.82","1,730",Jul-22,GRANGE ROAD,Resale,Strata,94,"18,617",-,Condominium,1,99 yrs lease commencing from 1991,10,Core Central Region,01 to 05
COMMONWEALTH TOWERS,"2,200,000","1,076.4","2,044",Jul-22,COMMONWEALTH AVENUE,Resale,Strata,100,"22,000",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,36 to 40
RIVERWALK APARTMENTS,"1,350,000",818.06,"1,650",Jul-22,UPPER CIRCULAR ROAD,Resale,Strata,76,"17,763",-,Apartment,1,99 yrs lease commencing from 1980,01,Rest of Central Region,11 to 15
COUNTRY PARK CONDOMINIUM,"2,590,000","1,754.53","1,476",Jul-22,BEDOK ROAD,Resale,Strata,163,"15,890",-,Condominium,1,Freehold,16,Outside Central Region,01 to 05
GLAMOUR VILLE,"1,625,000","1,173.28","1,385",Jul-22,LORONG N TELOK KURAU,Resale,Strata,109,"14,908",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
THE POIZ RESIDENCES,"800,000",441.32,"1,813",Jul-22,MEYAPPA CHETTIAR ROAD,Resale,Strata,41,"19,512",-,Apartment,1,99 yrs lease commencing from 2014,13,Rest of Central Region,06 to 10
EUHABITAT,"1,830,000","1,302.44","1,405",Jul-22,JALAN EUNOS,Resale,Strata,121,"15,124",-,Condominium,1,99 yrs lease commencing from 2010,14,Outside Central Region,01 to 05
THE ARCADIA,"7,700,000","7,502.51","1,026",Jul-22,ARCADIA ROAD,Resale,Strata,697,"11,047",-,Condominium,1,99 yrs lease commencing from 1979,11,Core Central Region,06 to 10
ECO,"878,000",592.02,"1,483",Jul-22,BEDOK SOUTH AVENUE 3,Resale,Strata,55,"15,964",-,Condominium,1,99 yrs lease commencing from 2012,16,Outside Central Region,11 to 15
SENNETT RESIDENCE,"1,480,000","1,280.92","1,155",Jul-22,PHENG GECK AVENUE,Resale,Strata,119,"12,437",-,Condominium,1,99 yrs lease commencing from 2011,13,Rest of Central Region,01 to 05
SUNGLADE,"1,470,000","1,151.75","1,276",Jul-22,SERANGOON AVENUE 2,Resale,Strata,107,"13,738",-,Condominium,1,99 yrs lease commencing from 2000,19,Outside Central Region,06 to 10
THE TROPICA,"888,888",990.29,898,Jul-22,TAMPINES AVENUE 1,Resale,Strata,92,"9,662",-,Condominium,1,99 yrs lease commencing from 1996,18,Outside Central Region,01 to 05
NASSIM LODGE,"10,000,000","4,477.82","2,233",Jul-22,NASSIM ROAD,Resale,Strata,416,"24,038",-,Apartment,1,Freehold,10,Core Central Region,01 to 05
DLV.,"1,420,000",785.77,"1,807",Jul-22,DALVEY ROAD,Resale,Strata,73,"19,452",-,Apartment,1,Freehold,10,Core Central Region,01 to 05
COSTA DEL SOL,"2,025,000","1,227.1","1,650",Jul-22,BAYSHORE ROAD,Resale,Strata,114,"17,763",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,21 to 25
THE BLOSSOMVALE,"1,638,000",839.59,"1,951",Jul-22,DUNEARN ROAD,Resale,Strata,78,"21,000",-,Condominium,1,999 yrs lease commencing from 1884,21,Rest of Central Region,01 to 05
LAKEVILLE,"1,950,000","1,270.15","1,535",Jul-22,JURONG LAKE LINK,Resale,Strata,118,"16,525",-,Condominium,1,99 yrs lease commencing from 2013,22,Outside Central Region,11 to 15
NOUVEL 18,"7,792,000","2,475.72","3,147",Jul-22,ANDERSON ROAD,Resale,Strata,230,"33,878",-,Condominium,1,Freehold,10,Core Central Region,06 to 10
ONE DUSUN RESIDENCES,"1,100,000",667.37,"1,648",Jul-22,JALAN DUSUN,Resale,Strata,62,"17,742",-,Apartment,1,Freehold,12,Rest of Central Region,11 to 15
11 AMBER ROAD,"2,730,000","1,506.96","1,812",Jul-22,AMBER ROAD,Resale,Strata,140,"19,500",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
