Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
DUO RESIDENCES,"1,350,000",667.37,"2,023",Mar-24,FRASER STREET,Resale,Strata,62,"21,774",-,Apartment,1,99 yrs lease commencing from 2011,07,Core Central Region,06 to 10
ONE DRAYCOTT,"2,660,000",796.54,"3,339",Mar-24,DRAYCOTT PARK,Resale,Strata,74,"35,946",-,Apartment,1,Freehold,10,Core Central Region,11 to 15
URBANA,"2,560,000","1,011.82","2,530",Mar-24,RIVER VALLEY CLOSE,Resale,Strata,94,"27,234",-,Condominium,1,Freehold,09,Core Central Region,26 to 30
WOODGROVE CONDOMINIUM,"1,900,000","2,045.16",929,Mar-24,WOODGROVE DRIVE,Resale,Strata,190,"10,000",-,Condominium,1,99 yrs lease commencing from 1997,25,Outside Central Region,01 to 05
KINGSFORD . HILLVIEW PEAK,"855,000",656.6,"1,302",Mar-24,HILLVIEW RISE,Resale,Strata,61,"14,016",-,Condominium,1,99 yrs lease commencing from 2012,23,Outside Central Region,01 to 05
GRANDEUR PARK RESIDENCES,"1,160,000",592.02,"1,959",Mar-24,BEDOK SOUTH AVENUE 3,Resale,Strata,55,"21,091",-,Condominium,1,99 yrs lease commencing from 2016,16,Outside Central Region,01 to 05
THE ALPS RESIDENCES,"995,000",699.66,"1,422",Mar-24,TAMPINES STREET 86,Resale,Strata,65,"15,308",-,Condominium,1,99 yrs lease commencing from 2015,18,Outside Central Region,11 to 15
SEASIDE RESIDENCES,"1,235,000",592.02,"2,086",Mar-24,SIGLAP LINK,Resale,Strata,55,"22,455",-,Apartment,1,99 yrs lease commencing from 2016,15,Outside Central Region,06 to 10
RESIDENTIAL APARTMENTS,"1,650,000","1,837.41",898,Mar-24,EVERITT ROAD,Resale,Land,170.7,"9,666",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
HAIG 162,"710,000",355.21,"1,999",Mar-24,HAIG ROAD,Resale,Strata,33,"21,515",-,Apartment,1,Freehold,15,Rest of Central Region,11 to 15
SOMMERVILLE GRANDEUR,"380,000","1,829.88",208,Mar-24,FARRER DRIVE,Resale,Strata,170,"2,235",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
MARINA BAY SUITES,"2,980,000","1,603.84","1,858",Mar-24,CENTRAL BOULEVARD,Resale,Strata,149,"20,000",-,Condominium,1,99 yrs lease commencing from 2007,01,Core Central Region,16 to 20
SKIES MILTONIA,"1,720,000","1,356.26","1,268",Mar-24,MILTONIA CLOSE,Resale,Strata,126,"13,651",-,Condominium,1,99 yrs lease commencing from 2012,27,Outside Central Region,11 to 15
COSTA ESTE,"1,780,000","1,431.61","1,243",Mar-24,LORONG K TELOK KURAU,Resale,Strata,133,"13,383",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
KING'S MANSION,"3,060,000","1,603.84","1,908",Mar-24,TANJONG KATONG ROAD,Resale,Strata,149,"20,537",-,Condominium,1,Freehold,15,Rest of Central Region,16 to 20
PARC OLYMPIA,"1,777,000","1,485.43","1,196",Mar-24,FLORA DRIVE,Resale,Strata,138,"12,877",-,Condominium,1,99 yrs lease commencing from 2012,17,Outside Central Region,01 to 05
ESPIRA SPRING,"1,500,000","1,194.8","1,255",Mar-24,LORONG G TELOK KURAU,Resale,Strata,111,"13,514",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
MAYSPRINGS,"1,488,000","1,377.79","1,080",Mar-24,PETIR ROAD,Resale,Strata,128,"11,625",-,Apartment,1,99 yrs lease commencing from 1994,23,Outside Central Region,06 to 10
THE GARDEN RESIDENCES,"1,450,000",785.77,"1,845",Mar-24,SERANGOON NORTH VIEW,Resale,Strata,73,"19,863",-,Apartment,1,99 yrs lease commencing from 2017,19,Outside Central Region,06 to 10
PARC RIVIERA,"1,080,000",645.84,"1,672",Mar-24,WEST COAST VALE,Resale,Strata,60,"18,000",-,Condominium,1,99 yrs lease commencing from 2015,05,Outside Central Region,06 to 10
D'NEST,"1,360,000",936.47,"1,452",Mar-24,PASIR RIS GROVE,Resale,Strata,87,"15,632",-,Condominium,1,99 yrs lease commencing from 2010,18,Outside Central Region,06 to 10
LIGHTHOUSE,"1,240,000","1,205.57","1,029",Mar-24,JALAN LOYANG BESAR,Resale,Strata,112,"11,071",-,Condominium,1,99 yrs lease commencing from 1993,17,Outside Central Region,01 to 05
D'SAVILLE,"1,950,000","1,162.51","1,677",Mar-24,JALAN TENGGIRI,Resale,Strata,108,"18,056",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
THE MIDAS,"1,000,000",818.06,"1,222",Mar-24,LORONG 30 GEYLANG,Resale,Strata,76,"13,158",-,Apartment,1,Freehold,14,Rest of Central Region,01 to 05
ASCENTIA SKY,"3,800,000","1,991.34","1,908",Mar-24,ALEXANDRA VIEW,Resale,Strata,185,"20,541",-,Condominium,1,99 yrs lease commencing from 2008,03,Rest of Central Region,41 to 45
BREEZE BY THE EAST,"2,630,000","1,571.54","1,674",Mar-24,UPPER EAST COAST ROAD,Resale,Strata,146,"18,014",-,Condominium,1,Freehold,16,Outside Central Region,01 to 05
RESIDENTIAL APARTMENTS,"1,400,000","1,044.11","1,341",Mar-24,EAST COAST ROAD,Resale,Strata,97,"14,433",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
ARCHIPELAGO,"1,550,000","1,033.34","1,500",Mar-24,BEDOK RESERVOIR ROAD,Resale,Strata,96,"16,146",-,Condominium,1,99 yrs lease commencing from 2011,16,Outside Central Region,01 to 05
TRESALVEO,"1,800,000","1,001.05","1,798",Mar-24,MARYMOUNT TERRACE,Resale,Strata,93,"19,355",-,Condominium,1,Freehold,20,Rest of Central Region,16 to 20
WATERBANK AT DAKOTA,"1,298,000",624.31,"2,079",Mar-24,DAKOTA CRESCENT,Resale,Strata,58,"22,379",-,Condominium,1,99 yrs lease commencing from 2009,14,Rest of Central Region,16 to 20
SKYSUITES@ANSON,"920,000",398.27,"2,310",Mar-24,ENGGOR STREET,Resale,Strata,37,"24,865",-,Apartment,1,99 yrs lease commencing from 2008,02,Core Central Region,26 to 30
