Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
PALM GARDENS,"1,080,000","1,216.33",888,Apr-22,HONG SAN WALK,Resale,Strata,113,"9,558",-,Condominium,1,99 yrs lease commencing from 1996,23,Outside Central Region,11 to 15
SKY VUE,"1,460,500",807.3,"1,809",Apr-22,BISHAN STREET 15,Resale,Strata,75,"19,473",-,Condominium,1,99 yrs lease commencing from 2013,20,Rest of Central Region,26 to 30
CITY STUDIOS,"655,000",473.62,"1,383",Apr-22,RACE COURSE LANE,Resale,Strata,44,"14,886",-,Apartment,1,Freehold,08,Rest of Central Region,01 to 05
SKIES MILTONIA,"1,045,000",968.76,"1,079",Apr-22,MILTONIA CLOSE,Resale,Strata,90,"11,611",-,Condominium,1,99 yrs lease commencing from 2012,27,Outside Central Region,06 to 10
PARC OASIS,"1,600,000","1,506.96","1,062",Apr-22,JURONG EAST AVENUE 1,Resale,Strata,140,"11,429",-,Condominium,1,99 yrs lease commencing from 1991,22,Outside Central Region,06 to 10
THE SUNNIFLORA,"1,035,000",828.83,"1,249",Apr-22,LORONG G TELOK KURAU,Resale,Strata,77,"13,442",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
THE AMARELLE,"858,000",559.73,"1,533",Apr-22,LIM AH WOO ROAD,Resale,Strata,52,"16,500",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
SEASONS PARK,"1,280,000","1,248.62","1,025",Apr-22,YIO CHU KANG ROAD,Resale,Strata,116,"11,034",-,Condominium,1,99 yrs lease commencing from 1995,26,Outside Central Region,06 to 10
THE POIZ RESIDENCES,"2,048,000","1,184.04","1,730",Apr-22,MEYAPPA CHETTIAR ROAD,Resale,Strata,110,"18,618",-,Apartment,1,99 yrs lease commencing from 2014,13,Rest of Central Region,06 to 10
SEASTRAND,"1,220,000","1,108.69","1,100",Apr-22,PASIR RIS LINK,Resale,Strata,103,"11,845",-,Condominium,1,99 yrs lease commencing from 2011,18,Outside Central Region,06 to 10
8 NAPIER,"9,350,000","2,777.11","3,367",Apr-22,NAPIER ROAD,Resale,Strata,258,"36,240",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
THOMSON 800,"2,408,888","1,399.32","1,721",Apr-22,THOMSON ROAD,Resale,Strata,130,"18,530",-,Condominium,1,Freehold,11,Core Central Region,11 to 15
SANCTUARY @ 813,"1,340,000","1,022.58","1,310",Apr-22,UPPER SERANGOON ROAD,Resale,Strata,95,"14,105",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
CLEMENTIWOODS CONDOMINIUM,"2,275,000","1,636.13","1,390",Apr-22,WEST COAST ROAD,Resale,Strata,152,"14,967",-,Condominium,1,99 yrs lease commencing from 2006,05,Outside Central Region,01 to 05
MACKENZIE 88,"780,000",452.09,"1,725",Apr-22,MACKENZIE ROAD,Resale,Strata,42,"18,571",-,Apartment,1,Freehold,09,Core Central Region,01 to 05
D'LEEDON,"2,098,000","1,216.33","1,725",Apr-22,LEEDON HEIGHTS,Resale,Strata,113,"18,566",-,Condominium,1,99 yrs lease commencing from 2010,10,Core Central Region,26 to 30
GARDENVISTA,"1,850,000","1,162.51","1,591",Apr-22,DUNEARN ROAD,Resale,Strata,108,"17,130",-,Condominium,1,99 yrs lease commencing from 1999,21,Rest of Central Region,06 to 10
CHANGI RISE CONDOMINIUM,"1,280,000","1,280.92",999,Apr-22,SIMEI RISE,Resale,Strata,119,"10,756",-,Condominium,1,99 yrs lease commencing from 2000,18,Outside Central Region,06 to 10
SELETAR SPRINGS CONDOMINIUM,"1,738,000","2,077.45",837,Apr-22,GERALD DRIVE,Resale,Strata,193,"9,005",-,Condominium,1,99 yrs lease commencing from 1997,28,Outside Central Region,01 to 05
THE CREEK @ BUKIT,"1,700,000",925.7,"1,836",Apr-22,TOH TUCK ROAD,Resale,Strata,86,"19,767",-,Condominium,1,Freehold,21,Rest of Central Region,01 to 05
MARINA ONE RESIDENCES,"3,075,000","1,162.51","2,645",Apr-22,MARINA WAY,Resale,Strata,108,"28,472",-,Apartment,1,99 yrs lease commencing from 2011,01,Core Central Region,26 to 30
RESIDENTIAL APARTMENTS,"1,568,800",667.37,"2,351",Apr-22,OUTRAM ROAD,Resale,Strata,62,"25,303",-,Apartment,1,Freehold,03,Rest of Central Region,01 to 05
DOVER PARKVIEW,"1,190,000",968.76,"1,228",Apr-22,DOVER RISE,Resale,Strata,90,"13,222",-,Condominium,1,99 yrs lease commencing from 1993,05,Rest of Central Region,11 to 15
SYMPHONY HEIGHTS,"1,460,000",990.29,"1,474",Apr-22,HUME AVENUE,Resale,Strata,92,"15,870",-,Condominium,1,Freehold,21,Outside Central Region,01 to 05
THE INFLORA,"598,000",462.85,"1,292",Apr-22,FLORA DRIVE,Resale,Strata,43,"13,907",-,Condominium,1,99 yrs lease commencing from 2012,17,Outside Central Region,06 to 10
PARC OLYMPIA,"1,198,000","1,162.51","1,031",Apr-22,FLORA DRIVE,Resale,Strata,108,"11,093",-,Condominium,1,99 yrs lease commencing from 2012,17,Outside Central Region,06 to 10
KINGSFORD WATERBAY,"888,000",678.13,"1,309",Apr-22,UPPER SERANGOON VIEW,Resale,Strata,63,"14,095",-,Apartment,1,99 yrs lease commencing from 2014,19,Outside Central Region,11 to 15
PARC ROSEWOOD,"550,000",430.56,"1,277",Apr-22,ROSEWOOD DRIVE,Resale,Strata,40,"13,750",-,Condominium,1,99 yrs lease commencing from 2011,25,Outside Central Region,01 to 05
76 SHENTON,"1,190,000",592.02,"2,010",Apr-22,SHENTON WAY,Resale,Strata,55,"21,636",-,Apartment,1,99 yrs lease commencing from 2007,02,Core Central Region,31 to 35
REFLECTIONS AT KEPPEL BAY,"5,850,000","3,993.44","1,465",Apr-22,KEPPEL BAY VIEW,Resale,Strata,371,"15,768",-,Condominium,1,99 yrs lease commencing from 2006,04,Rest of Central Region,01 to 05
SELETAR PARK RESIDENCE,"663,888",527.44,"1,259",Apr-22,SELETAR ROAD,Resale,Strata,49,"13,549",-,Condominium,1,99 yrs lease commencing from 2011,28,Outside Central Region,01 to 05
EAST COAST RESIDENCES,"1,260,000",871.88,"1,445",Apr-22,UPPER EAST COAST ROAD,Resale,Strata,81,"15,556",-,Apartment,1,Freehold,16,Outside Central Region,01 to 05
FLAMINGO VALLEY,"1,490,000",839.59,"1,775",Apr-22,SIGLAP ROAD,Resale,Strata,78,"19,103",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
GRANDLINK SQUARE,"1,600,000","1,388.56","1,152",Apr-22,GUILLEMARD ROAD,Resale,Strata,129,"12,403",-,Apartment,1,Freehold,14,Rest of Central Region,06 to 10
THE MINTON,"1,200,000","1,087.16","1,104",Apr-22,HOUGANG STREET 11,Resale,Strata,101,"11,881",-,Condominium,1,99 yrs lease commencing from 2007,19,Outside Central Region,01 to 05
DOMAIN 21,"1,408,000",882.65,"1,595",Apr-22,DELTA ROAD,Resale,Strata,82,"17,171",-,Condominium,1,99 yrs lease commencing from 2004,03,Rest of Central Region,11 to 15
THE ROCHESTER RESIDENCES,"2,750,000","1,948.28","1,411",Apr-22,ROCHESTER DRIVE,Resale,Strata,181,"15,193",-,Apartment,1,99 yrs lease commencing from 2005,05,Rest of Central Region,21 to 25
THE CLEMENT CANOPY,"1,160,000",656.6,"1,767",Apr-22,CLEMENTI AVENUE 1,Resale,Strata,61,"19,016",-,Apartment,1,99 yrs lease commencing from 2016,05,Outside Central Region,26 to 30
RIPPLE BAY,"1,060,000",990.29,"1,070",Apr-22,PASIR RIS LINK,Resale,Strata,92,"11,522",-,Condominium,1,99 yrs lease commencing from 2011,18,Outside Central Region,06 to 10
HILLVIEW REGENCY,"1,080,000","1,108.69",974,Apr-22,BUKIT BATOK EAST AVENUE 2,Resale,Strata,103,"10,485",-,Condominium,1,99 yrs lease commencing from 2000,23,Outside Central Region,11 to 15
CORALS AT KEPPEL BAY,"6,900,000","2,637.18","2,616",Apr-22,KEPPEL BAY DRIVE,Resale,Strata,245,"28,163",-,Condominium,1,99 yrs lease commencing from 2007,04,Rest of Central Region,01 to 05
THE ALCOVE,"1,200,000","1,377.79",871,Apr-22,LORONG 27 GEYLANG,Resale,Strata,128,"9,375",-,Apartment,1,99 yrs lease commencing from 2000,14,Rest of Central Region,01 to 05
RIPPLE BAY,"1,250,000","1,065.64","1,173",Apr-22,PASIR RIS LINK,Resale,Strata,99,"12,626",-,Condominium,1,99 yrs lease commencing from 2011,18,Outside Central Region,11 to 15
PARK 1 SUITES,"956,000",602.78,"1,586",Apr-22,LORONG 40 GEYLANG,Resale,Strata,56,"17,071",-,Apartment,1,Freehold,14,Rest of Central Region,06 to 10
NV RESIDENCES,"955,000",904.18,"1,056",Apr-22,PASIR RIS GROVE,Resale,Strata,84,"11,369",-,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,01 to 05
TRESALVEO,"1,770,000",990.29,"1,787",Apr-22,MARYMOUNT TERRACE,Resale,Strata,92,"19,239",-,Condominium,1,Freehold,20,Rest of Central Region,11 to 15
MOONSTONE RESIDENCES,"1,475,000","1,237.86","1,192",Apr-22,MOONSTONE LANE,Resale,Strata,115,"12,826",-,Apartment,1,Freehold,12,Rest of Central Region,01 to 05
EVERGREEN PARK,"940,000","1,065.64",882,Apr-22,HOUGANG AVENUE 7,Resale,Strata,99,"9,495",-,Apartment,1,99 yrs lease commencing from 1995,19,Outside Central Region,11 to 15
CLIVEDEN AT GRANGE,"8,300,000","2,841.7","2,921",Apr-22,GRANGE ROAD,Resale,Strata,264,"31,439",-,Condominium,1,Freehold,10,Core Central Region,11 to 15
SIMS URBAN OASIS,"1,720,000","1,033.34","1,664",Apr-22,SIMS DRIVE,Resale,Strata,96,"17,917",-,Condominium,1,99 yrs lease commencing from 2014,14,Rest of Central Region,01 to 05
SHIRO,"1,150,000",904.18,"1,272",Apr-22,LORONG H TELOK KURAU,Resale,Strata,84,"13,690",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
THE BEVERLY,"2,338,888","1,517.72","1,541",Apr-22,TOH TUCK ROAD,Resale,Strata,141,"16,588",-,Apartment,1,Freehold,21,Rest of Central Region,01 to 05
DUCHESS CREST,"2,180,000","1,367.03","1,595",Apr-22,DUCHESS AVENUE,Resale,Strata,127,"17,165",-,Condominium,1,99 yrs lease commencing from 1995,10,Core Central Region,01 to 05
THE VISION,"1,180,000",904.18,"1,305",Apr-22,WEST COAST CRESCENT,Resale,Strata,84,"14,048",-,Condominium,1,99 yrs lease commencing from 2008,05,Outside Central Region,01 to 05
TWIN VEW,"1,686,000","1,054.87","1,598",Apr-22,WEST COAST VALE,Resale,Strata,98,"17,204",-,Apartment,1,99 yrs lease commencing from 2017,05,Outside Central Region,16 to 20
VENTANA,"2,280,000","1,603.84","1,422",Apr-22,PASIR PANJANG HILL,Resale,Strata,149,"15,302",-,Apartment,1,Freehold,05,Rest of Central Region,01 to 05
THE SANTORINI,"1,420,000","1,151.75","1,233",Apr-22,TAMPINES STREET 86,Resale,Strata,107,"13,271",-,Condominium,1,99 yrs lease commencing from 2013,18,Outside Central Region,11 to 15
H2O RESIDENCES,"1,380,000","1,130.22","1,221",Apr-22,FERNVALE LINK,Resale,Strata,105,"13,143",-,Condominium,1,99 yrs lease commencing from 2010,28,Outside Central Region,06 to 10
SIN MING PLAZA,"2,450,000","2,131.27","1,150",Apr-22,SIN MING ROAD,Resale,Strata,198,"12,374",-,Apartment,1,Freehold,20,Rest of Central Region,01 to 05
RIVER PLACE,"3,215,750","2,066.69","1,556",Apr-22,HAVELOCK ROAD,Resale,Strata,192,"16,749",-,Condominium,1,99 yrs lease commencing from 1995,03,Rest of Central Region,01 to 05
SUITES 28,"655,000",505.91,"1,295",Apr-22,LORONG 30 GEYLANG,Resale,Strata,47,"13,936",-,Apartment,1,Freehold,14,Rest of Central Region,01 to 05
D'LEEDON,"1,150,000",667.37,"1,723",Apr-22,LEEDON HEIGHTS,Resale,Strata,62,"18,548",-,Condominium,1,99 yrs lease commencing from 2010,10,Core Central Region,06 to 10
